[1173 1252]
[1330 1393]
[1512 1576]
[1686 1747]
[1873 1941]
[2028 2091]
[2193 2248]
[2348 2418]
[2500 2583]
[2672 2757]
[2872 2961]
[3053 3133]
[3240 3299]
[3381 3440]
[3542 3596]
[3681 3740]
[3812 3895]
[3979 4060]
[4160 4243]
[4334 4423]
[4491 4541]
[4658 4706]
[4817 4865]
[4980 5030]
[5132 5182]
[5287 5333]
[5456 5496]
[5620 5678]
[5781 5876]
[5989 6068]
[6192 6287]
[6400 6483]
[6594 6681]
[6775 6862]
[6940 7023]
[7105 7177]
[7273 7360]
[7442 7534]
[7614 7701]
[7784 7869]
