[1444 1478]
[1478 1520]
[1520 1558]
[1558 1602]
[1676 1725]
[1725 1768]
[1768 1804]
[1804 1851]
[1955 1997]
[1999 2054]
[2056 2085]
[2085 2131]
[2211 2255]
[2255 2301]
[2303 2350]
[2348 2397]
[2513 2553]
[2558 2611]
[2613 2661]
[2661 2704]
[2803 2849]
[2852 2900]
[2917 2965]
[2965 3002]
[3114 3158]
[3160 3197]
[3200 3252]
[3249 3306]
[3363 3420]
[3424 3464]
[3464 3506]
[3506 3546]
[3631 3691]
[3703 3760]
[3767 3813]
[3820 3873]
[3911 3950]
[3950 3988]
[3988 4020]
[4020 4060]
