[1173 1242]
[1620 1687]
[2043 2115]
[2441 2509]
[2853 2924]
[3227 3318]
[3596 3666]
[3990 4060]
[4375 4476]
[4773 4863]
[5166 5264]
[5569 5659]
[6109 6184]
[6502 6576]
[6900 6976]
[7291 7368]
[7722 7812]
[8111 8198]
[8471 8559]
[8836 8940]
[9226 9308]
[9594 9682]
[ 9947 10028]
[10283 10374]
[10767 10826]
[11208 11272]
[11589 11651]
[11964 12048]
[12486 12555]
[13471 13571]
[13901 14001]
[14344 14433]
[14753 14847]
[15220 15312]
[15641 15736]
[16040 16127]
[16456 16541]
[16846 16961]
[17236 17340]
[17597 17701]
[17972 18074]
