[1328 1373]
[1814 1857]
[2214 2262]
[2676 2717]
[3099 3150]
[3498 3549]
[3879 3929]
[4265 4317]
[4664 4714]
[5066 5115]
[5477 5522]
[5877 5927]
[6272 6322]
[6662 6712]
[7052 7102]
[7435 7483]
[7820 7861]
[8204 8249]
[8608 8657]
[8975 9020]
[9356 9409]
[9726 9779]
[10080 10128]
[10439 10485]
[10808 10856]
[11160 11206]
[11533 11583]
[11901 11951]
[12284 12329]
[12650 12695]
[13059 13104]
[13429 13473]
[13807 13850]
[14175 14218]
[14580 14624]
[14953 14999]
[15356 15395]
[15703 15744]
[16060 16099]
[16417 16455]
